observable,tick,w1,threshold,excess
RNAs,16,782.22,0.7919999999999999,781.428
RNAs,17,782.3199999999999,0.682,781.6379999999999
RNAs,18,782.2399999999999,0.704,781.536
RNAs,19,782.3,0.6819999999999998,781.6179999999999
RNAs,20,782.3199999999999,0.638,781.6819999999999
RNAs,21,781.8199999999999,0.7480000000000001,781.0719999999999
RNAs,22,781.7599999999999,0.8579999999999999,780.9019999999999
RNAs,23,781.68,0.9030999999999998,780.7769
RNAs,24,782.0399999999998,0.7930999999999997,781.2468999999999
RNAs,25,781.7399999999999,0.9503999999999986,780.7896
RNAs,26,781.8199999999999,0.9690999999999996,780.8508999999999
RNAs,27,782.26,0.8360000000000002,781.424
RNAs,28,782.3599999999999,0.7710999999999997,781.5888999999999
RNAs,29,782.3799999999999,0.7710999999999997,781.6088999999998
RNAs,30,782.3199999999998,0.726,781.5939999999998
RNAs,31,781.7599999999998,0.7930999999999999,780.9668999999998
RNAs,32,781.7599999999999,0.8359999999999999,780.9239999999999
RNAs,33,781.7199999999999,0.8370999999999997,780.8829
RNAs,34,781.6399999999998,1.1010999999999997,780.5388999999998
RNAs,35,781.9399999999998,0.7941999999999995,781.1457999999998
RNAs,36,781.8199999999999,0.9921999999999994,780.8277999999999
RNAs,37,781.7199999999999,1.0571000000000002,780.6628999999999
RNAs,38,781.8999999999999,1.1880000000000002,780.7119999999999
RNAs,39,781.4799999999999,0.9701999999999994,780.5097999999999
RNAs,40,781.9999999999999,1.0130999999999994,780.9868999999999
RNAs,41,781.6399999999999,1.1021999999999994,780.5377999999998
RNAs,42,781.4999999999999,1.034,780.4659999999999
RNAs,43,781.2399999999999,0.9899999999999999,780.2499999999999
RNAs,44,781.4399999999999,1.144,780.2959999999999
RNAs,45,781.4999999999999,1.1230999999999998,780.3768999999999
RNAs,46,781.6999999999999,0.9240000000000002,780.776
RNAs,47,781.3399999999999,1.1440000000000001,780.1959999999999
RNAs,48,781.22,1.1010999999999997,780.1189
RNAs,49,781.2399999999999,1.0790999999999997,780.1608999999999
RNAs,50,781.2399999999999,0.9900000000000002,780.2499999999999
RNAs,51,781.2800000000001,0.9470999999999998,780.3329000000001
