observable,tick,ks_d,p_value,p_value_bonferroni,alpha_global,alpha_corrected
boundEnzymes,23,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,24,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,25,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,26,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,27,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,28,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,29,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,30,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,31,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,32,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,33,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,34,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,35,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,36,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,37,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,38,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,39,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,40,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,41,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,42,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,43,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,44,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,45,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,46,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,47,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,48,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,49,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,50,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,51,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,52,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,53,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,54,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,55,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,56,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,57,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,58,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,59,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,60,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,61,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
boundEnzymes,62,1.0,1.9823306042836678e-29,1.3876314229985673e-26,0.01,1.4285714285714285e-05
