observable,tick,w1,threshold,excess
boundEnzymes,21,5.84,3.391299999999999,2.448700000000001
boundEnzymes,22,4.98,2.844599999999998,2.1354000000000024
boundEnzymes,23,6.080000000000001,3.504599999999998,2.575400000000003
boundEnzymes,24,5.920000000000002,4.18,1.740000000000002
boundEnzymes,25,4.32,2.2219999999999995,2.0980000000000008
boundEnzymes,26,4.940000000000001,2.8390999999999997,2.1009000000000015
boundEnzymes,27,4.800000000000001,2.5541999999999994,2.2458000000000014
boundEnzymes,28,5.719999999999999,3.3703999999999983,2.3496000000000006
boundEnzymes,29,5.4399999999999995,2.446399999999999,2.9936000000000007
boundEnzymes,30,5.280000000000001,2.6850999999999994,2.5949000000000018
boundEnzymes,31,5.68,3.043699999999997,2.6363000000000025
boundEnzymes,32,5.96,2.9050999999999996,3.0549000000000004
boundEnzymes,33,4.6,2.1603999999999988,2.439600000000001
boundEnzymes,34,5.460000000000001,3.435299999999999,2.024700000000002
boundEnzymes,35,5.32,3.0800000000000005,2.2399999999999998
boundEnzymes,36,4.62,2.8434999999999984,1.7765000000000017
boundEnzymes,37,6.379999999999999,3.218599999999998,3.161400000000001
boundEnzymes,38,6.18,3.3230999999999997,2.8569
boundEnzymes,39,4.959999999999999,2.7070999999999996,2.2528999999999995
boundEnzymes,40,5.34,3.457299999999999,1.8827000000000007
boundEnzymes,41,4.48,2.3099999999999996,2.170000000000001
boundEnzymes,42,4.800000000000001,2.4903999999999984,2.3096000000000023
boundEnzymes,43,5.4399999999999995,3.63,1.8099999999999996
boundEnzymes,44,5.04,3.301099999999999,1.738900000000001
boundEnzymes,45,5.62,3.5221999999999998,2.0978000000000003
boundEnzymes,46,5.699999999999999,2.7720000000000002,2.927999999999999
boundEnzymes,47,5.66,2.9941999999999998,2.6658000000000004
boundEnzymes,48,6.160000000000001,3.146,3.014000000000001
boundEnzymes,49,5.76,2.956799999999997,2.8032000000000026
boundEnzymes,50,5.540000000000001,3.1052999999999993,2.4347000000000016
boundEnzymes,51,4.22,2.228599999999998,1.9914000000000018
boundEnzymes,52,5.4399999999999995,2.7290999999999994,2.7109
boundEnzymes,53,5.4799999999999995,2.9050999999999996,2.5749
boundEnzymes,54,5.280000000000001,2.75,2.530000000000001
