tick,e1_monomer_count_direct_state_read,complex1_delta_MG_041_062_429_PENTAMER,complex2_delta_MG_041_069_429_PENTAMER,any_complex_delta_total,any_complex_changed,pinched
3822,0,0,0,1,1,0
3823,0,0,0,-1,1,0
3825,0,0,0,0,0,0
3828,0,0,0,2,1,0
3829,0,0,0,-2,1,0
3844,0,0,0,1,1,0
3845,0,0,0,-1,1,0
3850,0,0,0,0,0,0
3869,0,0,0,1,1,0
3870,0,0,0,0,1,0
3871,0,0,0,-1,1,0
3875,0,0,0,0,0,0
3881,0,0,0,1,1,0
3882,0,0,0,-1,1,0
3891,0,0,0,1,1,0
3892,0,0,0,-1,1,0
3894,0,0,0,1,1,0
3895,0,0,0,-1,1,0
3900,0,0,0,0,0,0
3907,0,0,0,1,1,0
3908,0,0,0,-1,1,0
3909,0,0,0,1,1,0
3910,0,0,0,-1,1,0
3917,0,0,0,2,1,0
3918,0,0,0,-2,1,0
3925,0,0,0,0,0,0
3950,0,0,0,0,0,0
3954,0,0,0,1,1,0
3955,0,0,0,-1,1,0
3975,0,0,0,0,0,0
3984,0,0,0,1,1,0
3985,0,0,0,-1,1,0
3993,0,0,0,1,1,0
3994,0,0,0,-1,1,0
3998,0,0,0,1,1,0
3999,0,0,0,-1,1,0
4000,0,0,0,0,0,0
4013,0,0,0,1,1,0
4014,0,0,0,-1,1,0
4016,0,0,0,1,1,0
4017,0,0,0,-1,1,0
4025,0,0,0,0,0,0
4026,0,0,0,1,1,0
4027,0,0,0,-1,1,0
4050,0,0,0,1,1,0
4051,0,0,0,-1,1,0
4054,0,0,0,1,1,0
4055,0,0,0,-1,1,0
4060,0,0,0,1,1,0
4061,0,0,0,-1,1,0
4070,0,0,0,1,1,0
4071,0,0,0,-1,1,0
4075,0,0,0,0,0,0
4082,0,0,0,1,1,0
4083,0,0,0,1,1,0
4084,0,0,0,-2,1,0
4098,0,0,0,2,1,0
4099,0,0,0,-2,1,0
4100,0,0,0,0,0,0
4108,0,0,0,1,1,0
4109,0,0,0,-1,1,0
4113,0,0,0,2,1,0
4114,0,0,0,-2,1,0
4125,0,0,0,0,0,0
4133,0,0,0,1,1,0
4134,0,0,0,-1,1,0
4150,0,0,0,0,0,0
4152,0,0,0,1,1,0
4153,0,0,0,-1,1,0
4175,0,0,0,0,0,0
4200,0,0,0,0,0,0
4206,0,0,0,1,1,0
4207,0,0,0,-1,1,0
4225,0,0,0,0,0,0
4245,0,0,0,1,1,0
4246,0,0,0,-1,1,0
4250,0,0,0,0,0,0
4252,0,0,0,1,1,0
4253,0,0,0,-1,1,0
4266,0,0,0,1,1,0
4267,0,0,0,-1,1,0
4274,0,0,0,1,1,0
4275,0,0,0,-1,1,0
4294,0,0,0,1,1,0
4295,0,0,0,-1,1,0
4300,0,0,0,1,1,0
4301,0,0,0,-1,1,0
4325,0,0,0,0,0,0
4338,0,0,0,1,1,0
4339,0,0,0,-1,1,0
4350,0,0,0,0,0,0
4351,0,0,0,2,1,0
4352,0,0,0,-2,1,0
4371,0,0,0,1,1,0
4372,0,0,0,-1,1,0
4375,0,0,0,0,0,0
4381,0,0,0,1,1,0
4382,0,0,0,-1,1,0
4389,0,0,0,1,1,0
4390,0,0,0,-1,1,0
4391,0,0,0,1,1,0
4392,0,0,0,0,1,0
4393,0,0,0,-1,1,0
4396,0,0,0,1,1,0
4397,0,0,0,-1,1,0
4400,0,0,0,0,0,0
4409,0,0,0,2,1,0
4410,0,0,0,-2,1,0
4416,0,0,0,1,1,0
4417,0,0,0,-1,1,0
4425,0,0,0,0,0,0
4428,0,0,0,1,1,0
4429,0,0,0,-1,1,0
4432,0,0,0,1,1,0
4433,0,0,0,-1,1,0
4438,0,0,0,1,1,0
4439,0,0,0,0,1,0
4440,0,0,0,-1,1,0
4450,0,0,0,0,0,0
4451,0,0,0,1,1,0
4452,0,0,0,-1,1,0
4462,0,0,0,1,1,0
4463,0,0,0,-1,1,0
4475,0,0,0,0,0,0
4500,0,0,0,0,0,0
4501,0,0,0,1,1,0
4502,0,0,0,-1,1,0
4525,0,0,0,0,0,0
4530,0,0,0,1,1,0
4531,0,0,0,-1,1,0
4532,0,0,0,1,1,0
4533,0,0,0,-1,1,0
4539,0,0,0,1,1,0
4540,0,0,0,-1,1,0
4550,0,0,0,0,0,0
4554,0,0,0,1,1,0
4555,0,0,0,-1,1,0
4556,0,0,0,1,1,0
4557,0,0,0,-1,1,0
4575,0,0,0,0,0,0
4583,0,0,0,1,1,0
4584,0,0,0,-1,1,0
4585,0,0,0,1,1,0
4586,0,0,0,-1,1,0
4588,0,0,0,1,1,0
4589,0,0,0,-1,1,0
4590,0,0,0,1,1,0
4591,0,0,0,-1,1,0
4595,0,0,0,1,1,0
4596,0,0,0,-1,1,0
4600,0,0,0,0,0,0
4603,0,0,0,1,1,0
4604,0,0,0,-1,1,0
4606,0,0,0,1,1,0
4607,0,0,0,-1,1,0
4616,0,0,0,1,1,0
4617,0,0,0,-1,1,0
4623,0,0,0,2,1,0
4624,0,0,0,-2,1,0
4625,0,0,0,0,0,0
4640,0,0,0,1,1,0
4641,0,0,0,-1,1,0
4650,0,0,0,0,0,0
4659,0,0,0,1,1,0
4660,0,0,0,-1,1,0
4675,0,0,0,0,0,0
4700,0,0,0,0,0,0
4703,0,0,0,1,1,0
4704,0,0,0,-1,1,0
4705,0,0,0,1,1,0
4706,0,0,0,-1,1,0
4715,0,0,0,1,1,0
4716,0,0,0,-1,1,0
4725,0,0,0,0,0,0
4749,0,0,0,1,1,0
4750,0,0,0,-1,1,0
4756,0,0,0,1,1,0
4757,0,0,0,-1,1,0
4765,0,0,0,1,1,0
4766,0,0,0,-1,1,0
4775,0,0,0,0,0,0
4783,0,0,0,2,1,0
4784,0,0,0,-2,1,0
4800,0,0,0,0,0,0
4819,0,0,0,1,1,0
4820,0,0,0,-1,1,0
4825,0,0,0,0,0,0
4837,0,0,0,1,1,0
4838,0,0,0,-1,1,0
4841,0,0,0,1,1,0
4842,0,0,0,-1,1,0
4846,0,0,0,1,1,0
4847,0,0,0,-1,1,0
4850,0,0,0,0,0,0
4867,0,0,0,1,1,0
4868,0,0,0,-1,1,0
